Country,Ia,Ib,Id,Ie,If,Ig,Ii,Ij,Ik
Algeria,0,0,0,0,0,0,0,0,1
Australia,6,32,15,8,10,9,0,0,0
Canada,2,0,2,0,0,0,0,0,0
China,7,8,7,3,3,1,2,0,0
Cyprus,0,1,0,0,0,0,0,0,0
Ecuador,0,0,0,1,0,0,0,0,0
Egypt,1,0,0,0,0,0,0,0,0
India,19,2,12,15,5,0,0,0,0
Iran,0,0,1,0,1,0,0,0,0
Italy,1,0,0,0,0,0,0,0,0
Jamaica,0,2,0,1,0,0,0,0,0
Japan,1,1,0,1,0,0,0,0,0
Kenya,6,2,8,1,0,0,0,1,0
Kuwait,0,2,1,1,0,0,0,0,0
Lebanon,0,0,8,0,0,0,0,0,0
Malawi,1,1,4,1,0,0,0,0,0
Malaysia,4,2,1,2,0,0,0,0,0
Mexico,6,2,1,3,0,0,0,0,0
Netherlands,0,1,2,0,0,0,0,0,0
New Zealand,0,6,0,0,0,0,0,0,0
Nigeria,6,3,1,1,0,0,0,0,0
Pakistan,1,2,3,1,0,0,0,0,0
Peru,8,0,4,1,2,0,0,0,0
Portugal,1,2,1,1,1,0,0,0,0
Romania,0,1,0,0,0,0,0,0,0
Saudi Arabia,0,0,0,1,0,0,0,0,0
Slovenia,1,1,0,0,0,0,0,0,0
South Africa,0,0,0,0,1,0,0,0,0
Spain,8,14,1,1,0,0,0,0,0
Sweden,0,0,1,1,0,0,0,0,0
Thailand,0,0,0,0,0,0,2,0,0
Tunisia,1,0,1,0,0,0,0,0,0
Turks and Caicos Islands,0,0,1,0,0,0,0,0,0
Uganda,4,1,1,4,0,0,0,0,0
United Kingdom,10,30,7,4,3,0,0,0,0
USA,7,9,0,5,0,1,0,0,0
Yemen,0,0,0,1,0,0,0,0,0
