Region,CryptoPos,GiardiaPos
Waikato,1,0
Manawatu-Wanganui,1,0
Manawatu-Wanganui,1,0
Manawatu-Wanganui,1,0
Bay of Plenty,1,0
Southland,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Bay of Plenty,1,0
Bay of Plenty,1,0
Bay of Plenty,1,0
Manawatu-Wanganui,1,0
Manawatu-Wanganui,1,0
Manawatu-Wanganui,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Bay of Plenty,1,0
Bay of Plenty,1,0
Bay of Plenty,1,0
Waikato,1,0
Waikato,1,0
Waikato,1,0
Waikato,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Waikato,1,0
Waikato,1,0
Waikato,1,0
Waikato,1,0
Waikato,1,0
Bay of Plenty,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Wellington,1,0
Waikato,1,0
Waikato,1,0
Waikato,1,0
Waikato,1,0
Wellington,1,0
Wellington,1,0
Manawatu-Wanganui,1,0
Wellington,1,0
Waikato,1,0
Waikato,1,0
Waikato,1,0
Waikato,1,0
Waikato,1,0
Waikato,1,0
Waikato,1,0
Waikato,1,0
Waikato,1,0
Waikato,1,0
Waikato,1,0
Waikato,1,0
Waikato,1,0
Waikato,1,0
Waikato,1,0
Waikato,1,0
Waikato,1,0
Waikato,1,0
Waikato,1,0
Waikato,1,0
Waikato,1,0
Waikato,1,0
