Country,Ia,Ib,Id,Ie,If,Ig,Ih,Ii,Ij,Ik
Algeria,0,0,0,0,0,0,0,0,0,1
Argentina,4,3,0,1,0,0,0,0,0,0
Australia,36,212,138,8,9,60,0,0,0,0
Bangladesh,8,10,6,13,11,0,0,0,0,0
Belgium,0,13,0,0,0,0,0,0,0,0
Brazil,0,13,0,0,0,0,0,0,0,2
Canada,2,0,1,1,0,0,0,0,0,0
China,6,36,4,6,5,1,0,1,0,62
Cyprus,0,4,0,0,0,0,0,0,0,0
Denmark,0,1,0,0,0,0,0,0,0,0
Dominican Republic,0,1,0,0,0,0,0,0,0,0
Ecuador,0,0,0,1,0,0,0,0,0,0
Egypt,1,0,0,0,0,0,0,0,0,0
Ethiopia,1,1,13,5,0,0,0,0,0,0
France,0,23,1,0,0,0,0,0,0,0
Greece,0,5,0,0,0,0,0,0,0,0
India,81,37,34,35,21,0,0,0,0,0
Iran,0,0,1,0,4,0,0,0,0,0
Italy,1,5,0,0,0,0,0,0,0,0
Jamaica,0,23,0,3,0,0,0,0,0,0
Japan,2,1,0,2,0,0,0,0,0,0
Jordan,0,10,7,0,0,0,0,0,0,0
Kenya,5,11,5,7,9,0,0,0,1,0
Kuwait,8,2,13,3,0,0,0,0,0,0
Lebanon,0,0,8,0,0,0,0,0,0,0
Malawi,4,5,12,6,0,0,0,0,0,0
Malaysia,3,2,0,0,0,0,0,0,0,0
Mexico,6,3,1,3,0,0,0,0,0,0
Nepal,6,0,0,0,0,0,0,0,0,0
Netherlands,23,349,4,3,1,0,0,0,0,0
New Zealand,4,132,9,10,5,81,0,0,0,0
Nigeria,17,15,4,5,0,0,1,0,0,0
Pakistan,1,1,3,4,1,0,0,0,0,0
Papua New Guinea,0,0,2,0,0,0,0,0,0,0
Peru,20,25,14,21,0,0,0,0,0,0
Portugal,1,11,1,2,1,0,0,0,0,0
Saudi Arabia,0,1,0,0,0,0,0,0,0,0
Slovakia,0,1,0,0,0,0,0,0,0,0
Slovenia,1,1,0,0,0,0,0,0,0,0
South Africa,1,4,5,5,0,0,0,0,0,0
Spain,1,110,0,4,0,0,0,0,0,0
Sweden,5,44,10,1,3,0,0,0,0,0
Thailand,0,0,0,0,0,0,0,2,0,0
Tunisia,4,0,5,0,0,0,0,0,0,0
Turkey,0,3,0,0,0,0,0,0,0,0
Turks and Caicos Islands,0,0,1,0,0,0,0,0,0,0
Uganda,4,1,1,8,0,0,0,0,0,0
UK,2,131,1,0,1,2,0,0,0,0
USA,78,2,14,0,0,3,0,1,0,0
Yemen,0,0,0,1,0,0,0,0,0,0
