Country,IIa,IIb,IIc,IId,IIe,IIf,IIg,IIh,IIi,IIj,IIk,IIl,IIm,IIn,IIo,IIp
Algeria,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,202,0,7,26,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
Belgium,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,52,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
China,0,0,0,115,0,0,0,0,0,0,0,0,0,0,1,2
Cyprus,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,28,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,71,1,2,5,0,2,0,0,0,0,0,0,0,0,0,0
France,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
India,3,2,21,6,3,0,1,0,0,0,0,0,2,2,0,0
Iran,36,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,40,8,5,8,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,26,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Jordan,8,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,5,3,1,0,5,0,0,0,0,0,0,0,0,0,0,0
Kuwait,57,0,14,49,0,1,0,0,0,0,0,0,0,0,0,0
Lebanon,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Malawi,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Malaysia,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,29,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,260,0,3,68,1,0,0,0,0,0,0,0,0,0,0,0
Nigeria,2,0,25,0,4,0,0,0,2,0,0,0,2,0,0,0
Norway,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,11,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0
Portugal,90,1,7,13,0,0,0,0,0,0,0,0,0,0,0,0
Romania,5,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,5,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
Slovakia,12,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
Slovenia,70,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0
South Africa,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,130,0,2,152,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,69,0,11,24,1,0,0,0,0,0,0,0,0,0,2,0
Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tunisia,16,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0
Turkey,25,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,0,0,10,0,1,0,1,1,3,0,0,0,0,0,0,0
UK,411,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0
USA,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
