Month,January,February,March,April,May,June,July,August,September,October,November,December,Total
1997,6,12,19,27,14,8,4,18,73,124,45,7,357
1998,15,17,58,159,87,37,27,37,185,143,69,32,866
1999,57,82,141,111,72,26,32,52,130,178,73,23,977
2000,20,11,30,18,26,27,18,43,172,263,118,29,775
2001,35,54,159,121,93,60,30,83,188,240,101,44,1208
2002,39,39,24,17,42,29,53,90,241,261,95,45,975
2003,24,60,52,48,31,29,16,59,181,195,92,30,817
2004,17,19,21,10,18,13,12,50,160,184,87,20,611
2005,13,44,66,51,45,33,26,72,176,229,107,26,888
2006,43,23,28,23,34,29,26,58,148,202,88,35,737
2007,43,67,103,82,86,47,34,68,122,171,73,28,924
2008,27,32,24,39,31,23,16,51,207,197,81,36,764
2009,30,54,50,51,45,67,55,48,130,171,105,48,854
2010,68,58,109,92,57,38,28,60,179,151,76,38,954
2011,31,25,29,19,36,23,19,57,136,127,87,21,610
2012,35,28,47,46,47,38,49,97,173,191,96,30,877
2013,80,119,187,129,133,67,78,87,184,167,85,32,1348
2014,36,25,21,18,30,22,25,49,120,144,70,24,584
Total,619,769,1168,1061,927,616,548,1079,2905,3338,1548,548,15126
