Country,A,B,C,D,E,F,G,H
Albania,0,0,1,0,0,0,0,0
Australia,26,81,5,1,5,8,5,0
Brazil,140,110,9,28,26,13,0,0
Burkina Faso,0,1,0,0,0,0,0,0
Canada,47,44,0,0,0,0,0,0
China,13,24,8,11,32,3,0,0
Colombia,19,2,0,1,0,0,0,1
Croatia,2,0,26,27,0,0,0,0
Czech Republic,0,1,0,0,0,0,0,0
Denmark,2,0,0,0,9,0,0,0
Egypt,23,64,0,0,50,0,0,0
Ethiopia,2,54,0,0,0,0,0,0
Germany,29,64,2,5,50,0,0,0
Honduras,1,0,0,0,0,0,0,0
Hungary,3,0,0,0,0,0,0,0
India,31,58,0,4,0,0,0,0
Indonesia,0,12,2,1,0,0,0,0
Iran,27,20,0,0,9,0,0,0
Israel,1,0,0,0,0,0,0,0
Italy,3,4,0,0,0,0,0,0
Japan,22,35,3,3,2,1,0,0
Macedonia,0,0,0,3,0,0,0,0
Malaysia,7,36,0,0,0,0,0,0
Mexico,0,1,1,7,0,0,0,0
Nepal,0,7,0,0,0,0,0,0
Norway,1,20,0,0,5,0,0,0
Peru,2,0,0,0,0,0,0,0
Poland,1,3,1,8,0,0,0,0
Puerto Rico,1,0,0,0,0,0,0,0
Romania,0,0,2,8,2,0,0,0
Slovenia,0,2,0,0,0,0,0,0
Spain,1,61,0,0,10,2,0,0
Sweden,5,14,0,0,0,0,0,0
Turkey,1,1,0,0,0,0,0,0
Uganda,3,10,0,0,4,0,0,0
USA,96,57,5,16,5,1,0,22
West Bank,0,6,0,0,0,0,0,0
Western Sahara,1,1,0,0,0,0,0,0
