Month,January,February,March,April,May,June,July,August,September,October,November,December,Total
1997,182,207,234,226,192,154,191,163,158,131,133,155,2126
1998,158,220,266,202,210,190,176,167,160,143,164,127,2183
1999,137,207,221,186,165,126,131,118,149,124,120,109,1793
2000,124,165,169,112,176,159,127,152,143,110,136,115,1688
2001,108,121,148,118,184,145,122,139,125,135,142,117,1604
2002,130,145,152,132,167,128,128,122,107,112,110,114,1547
2003,131,130,148,123,117,153,110,140,129,129,122,138,1570
2004,143,156,149,118,121,129,134,106,102,104,141,111,1514
2005,78,116,132,99,118,90,97,123,93,81,98,106,1231
2006,99,100,117,85,129,105,110,106,86,101,95,81,1214
2007,124,140,140,137,133,93,92,139,88,105,115,96,1402
2008,119,146,152,146,174,110,133,142,150,120,120,148,1660
2009,123,164,183,111,148,153,119,127,135,101,147,128,1639
2010,150,186,219,188,185,162,160,139,177,139,153,127,1985
2011,171,231,214,154,168,143,144,170,147,127,139,126,1934
2012,164,175,171,154,160,129,140,139,102,130,137,113,1714
2013,148,148,134,163,161,139,136,150,145,154,106,145,1729
2014,174,144,157,114,195,157,156,125,142,107,116,122,1709
Total,2463,2901,3106,2568,2903,2465,2406,2467,2338,2153,2294,2178,30242
