Country,A,B,C,D,E,F,G,H
Afghanistan,1,0,0,0,0,0,0,0
Albania,0,0,1,0,0,0,0,0
Algeria,16,12,0,0,0,0,0,0
Australia,145,265,3,4,134,0,0,0
Austria,18,34,0,0,0,0,0,0
Belgium,0,20,0,0,0,0,0,0
Brazil,138,93,8,48,27,11,0,0
Cambodia,11,31,4,4,0,0,0,0
Canada,15,2,23,51,0,0,0,0
China,84,124,19,29,675,0,10,0
Colombia,16,136,0,0,0,0,0,1
Croatia,0,0,26,27,0,0,0,0
Cuba,9,11,0,0,0,0,0,0
Ecuador,22,42,0,0,0,0,0,0
Egypt,22,66,1,0,0,0,0,0
Ethiopia,8,29,0,0,20,0,0,0
Germany,7,0,0,0,0,0,0,0
Ghana ,0,32,0,0,0,0,0,0
India,7,47,0,1,0,0,0,0
Iran,168,98,0,0,4,0,0,0
Israel,1,0,0,0,0,0,0,0
Italy,4,0,0,0,3,0,0,0
Jamaica,35,0,0,0,0,0,0,0
Japan,31,10,15,35,5,23,0,0
Jordan,21,27,0,0,0,0,0,0
Kenya,2,48,0,0,0,0,0,0
Macedonia,0,0,0,3,0,0,0,0
Malaysia,7,31,0,0,0,0,0,0
Mexico,0,6,0,0,0,0,0,0
Morocco,2,9,0,0,0,0,0,0
Netherlands,34,64,0,0,0,0,0,0
Nicaragua,15,27,0,0,0,0,0,0
Norway,3,0,0,0,0,0,0,0
West Bank,0,6,0,0,0,0,0,0
Peru,16,8,0,0,0,0,0,0
Poland,3,1,0,0,0,0,0,0
Puerto Rico,1,0,0,0,0,0,0,0
Romania,0,0,10,43,7,0,0,0
Slovenia,22,18,0,0,0,0,0,0
Spain,41,88,3,0,83,6,3,0
Sweden,73,129,0,0,0,0,0,0
Tanzania,2,7,0,0,0,0,0,0
Thailand,41,44,0,0,0,0,0,0
Turkey,11,15,0,0,0,0,0,0
Uganda,3,9,0,0,4,0,0,0
USA,30,2,24,132,6,1,0,21
UK,30,45,0,0,0,0,0,0
